Position Title,Position Class Code,Grade,Average of Base Salary,Number of Employees
Library Assistant I,1166,13,"$59,292.78",29
Civil Works Designer,4033,20,"$86,669.00",1
Communications Technician II,3422,20,"$86,669.00",4
Recreation Coordinator,1018,18,"$54,021.19",13
Accountant/Auditor Supervisor,208,26,"$112,381.66",9
Fire/Rescue Division Chief,3150,B6,"$168,617.00",3
Warehouse Worker,8118,9,"$46,447.50",2
Library Technician,1160,13,"$60,184.73",3
Master Police Officer,3074,P5,"$96,668.56",71
Police Services Assistant,3501,16,"$68,375.21",33
Printing Technician III,5175,16,"$68,103.36",5
Environmental Health Specialist III,2234,24,"$93,019.85",22
Transit Aide I,4468,8,"$42,216.82",1
Chief Veterinarian,106515,38,"$162,707.55",1
Supervisory Social Worker,2805,26,"$107,157.49",31
Urban District Public Service Team Supervisor,629,16,"$61,605.59",4
Engineer I,4024,19,"$80,489.13",1
Transit Communications Leader,4461,18,"$72,772.27",11
Laboratory Supervisor,103550,27,"$115,389.55",2
Mail Clerk Leader,5191,14,"$56,873.98",1
Human Services Specialist,2009,23,"$99,852.00",2
Supply Technician II,9236,12,"$63,705.59",3
Fire/Rescue Captain,3167,B2,"$117,297.94",142
Income Assistance Program Specialist I,2013,17,"$51,013.58",3
Photographic/Digital Image Technician,3512,18,"$65,863.93",1
Client Assistance Specialist,2814,20,"$73,767.79",40
Traffic Management Technician II,4111,19,"$58,127.50",4
Manager Taxicab Regulation and Special Transit Services,4454,26,"$88,701.63",1
Arborist,5206,23,"$91,215.24",5
Senior Business Development Specialist,4430,27,"$120,703.00",1
Correctional Records Coordinator,3258,17,"$67,541.35",8
Transit Bus Operator,4466,15,"$54,681.48",623
Fire/Rescue Lieutenant,3168,B1,"$100,748.62",121
Radiologic Technologist,202420,17,"$75,290.00",2
Work Force Leader I,5213,13,"$58,004.32",2
Management and Budget Specialist I,428,18,"$78,902.00",1
Transit Operations Supervisor,4457,21,"$89,015.11",23
Automotive Parts Technician II,9238,16,"$68,294.84",19
Emergency Management Specialist II,200701,26,"$95,417.36",8
Forensics Specialist II,3520,21,"$74,317.89",2
Library Associate II,1190,21,"$90,703.19",7
"Animal Services Officer, Lead",202272,21,"$68,185.13",2
Correctional Officer III (Corporal),3237,C5,"$75,753.16",142
Emergency Vehicle Maintenance Crew Chief,205001,23,"$99,852.00",4
Visual Information Specialist,4445,21,"$86,650.02",6
School Health Room Technician I,202702,15,"$68,575.00",1
Senior Permitting Services Specialist,2201,26,"$111,867.94",39
Lead Revenue Counter,4533,13,"$62,488.00",1
Latent Print Examiner,3505,20,"$75,570.31",4
Planning Specialist III,4403,23,"$92,327.03",24
Alcohol and Tobacco Enforcement Specialist II,2220,21,"$87,290.86",7
Enterprise Technology Expert,100548,34,"$159,475.00",3
Fire/Rescue Assistant Chief,3163,B4,"$148,712.00",12
Messenger-Clerk,9252,7,"$39,366.25",1
Nurse Manager,2304,25,"$107,867.36",15
Construction Representative III,3650,23,"$96,865.33",18
Real Estate Specialist III,328,25,"$109,079.84",4
Security Officer I,3535,15,"$62,162.86",22
EMS Educator,3149,25,"$105,535.06",1
"Accountant/Auditor, Lead/Senior",209,25,"$109,049.88",12
Truck Driver Helper/Warehouse Worker,8117,10,"$44,057.14",27
Program Manager II,832,25,"$104,143.12",175
Public Safety Reporting Aide I,3502,16,"$62,423.72",6
Public Safety Reporting Aide II,3504,18,"$67,443.51",3
Autobody Repairer,5015,17,"$71,414.74",4
Community Health Nurse II,2306,24,"$95,906.25",148
Traffic Enforcement Field Service Technician II,203513,15,"$58,162.06",8
Crime Analyst,3517,20,"$74,728.55",10
Nurse Practitioner,2309,26,"$99,504.07",3
Information Technology Specialist II,553,23,"$95,459.93",7
Building Services Worker II,5308,8,"$47,941.50",20
Medical Doctor Psychiatrist IV,142005,MD4,"$223,953.00",1
Community Health Clinic Technician Leader,2708,17,"$75,290.00",1
Administrative Specialist II,151,21,"$85,087.28",70
Management Services Supervisor,4477,27,"$113,525.42",2
Audiovisual Production Specialist,4443,23,"$98,979.87",5
Senior/Lead Fiscal and Policy Analyst,410,30,"$134,788.26",6
Chief Deputy Sheriff (Colonel),3524,D4,"$159,332.00",1
Printer Apprentice,5179,9,"$34,147.77",1
Housing Code Inspector III,2253,23,"$99,557.11",5
Parking Meter Mechanic,4523,15,"$62,658.63",4
Electrician I,5073,18,"$75,920.53",4
Senior Information Technology Specialist,551,28,"$124,616.60",85
Correctional Specialist III,3245,24,"$88,444.25",25
Investigator II,644,23,"$85,360.37",1
Emergency Vehicle Mechanic Technician II,205002,20,"$72,591.19",10
Senior Executive Administrative Aide,9268,18,"$75,733.68",14
Liquor Store Manager,8009,21,"$82,119.61",26
Transit Analyst,4460,16,"$59,083.09",4
Plumber II,5062,19,"$81,909.60",4
Senior Public Safety Emergency Communications Specialist,203093,21,"$75,171.88",2
Senior Water Quality Specialist,2230,26,"$94,540.02",1
Information Technology Supervisor,558,30,"$138,517.48",5
Print Shop Foreman,5172,20,"$73,088.55",1
Senior Planning Specialist,4402,25,"$105,694.47",21
Facilities and Equipment Maintenance Coordinator,5027,20,"$86,669.00",2
Legislative Analyst III,715,28,"$118,920.54",5
Urban District Public Service and Maintenance Team Supervisor,628,17,"$75,290.00",3
Executive Administrative Aide to Chief Administrative Officer,9271,20,"$86,669.00",1
Legislative Services Coordinator,722,17,"$72,390.31",6
Firefighter/Rescuer III,3170,F3,"$74,144.93",409
Income Assistance Program Supervisor,2011,24,"$98,148.54",18
Forensic Firearms/Toolmark Examiner,3518,24,"$104,680.00",2
Information Technology Specialist I,554,20,"$76,046.64",4
Imaging Operator Leader,109009,14,"$59,682.11",1
Water Quality Specialist II,2231,22,"$91,574.07",5
Supply Technician III,9235,13,"$55,954.17",3
Forest Conservation Coordinator,102204,25,"$109,761.00",1
Supply Technician I,9237,10,"$39,379.32",1
Correctional Supervisor - Sergeant,3234,C6,"$94,434.43",37
Police Captain,3063,A3,"$156,780.64",21
Deputy Sheriff III,3529,G4,"$83,677.86",66
Manager III,112,M3,"$132,146.03",252
Correctional Specialist IV,3247,25,"$105,117.90",4
